订单ID,日期,产品名称,产品类别,数量,单价,总价,销售员,客户名称,地区
ORD-001,2024-01-15,笔记本电脑,电子产品,2,8999.00,17998.00,张三,北京科技有限公司,华北
ORD-002,2024-01-15,无线鼠标,电子产品,5,199.00,995.00,李四,上海贸易公司,华东
ORD-003,2024-01-16,办公椅,办公用品,10,599.00,5990.00,王五,广州企业服务有限公司,华南
ORD-004,2024-01-16,机械键盘,电子产品,3,399.00,1197.00,张三,深圳科技公司,华南
ORD-005,2024-01-17,A4打印纸,办公用品,20,29.90,598.00,李四,杭州网络公司,华东
ORD-006,2024-01-17,显示器,电子产品,1,1299.00,1299.00,王五,成都软件公司,西南
ORD-007,2024-01-18,手机支架,电子产品,8,49.90,399.20,张三,武汉电子公司,华中
ORD-008,2024-01-18,文件夹,办公用品,15,12.50,187.50,李四,南京科技公司,华东
ORD-009,2024-01-19,平板电脑,电子产品,2,3299.00,6598.00,王五,重庆信息公司,西南
ORD-010,2024-01-19,订书机,办公用品,6,25.80,154.80,张三,天津制造公司,华北
ORD-011,2024-01-20,蓝牙耳机,电子产品,4,299.00,1196.00,李四,苏州电子公司,华东
ORD-012,2024-01-20,白板,办公用品,2,199.00,398.00,王五,西安科技公司,西北
ORD-013,2024-01-21,智能手表,电子产品,3,1599.00,4797.00,张三,青岛贸易公司,华东
ORD-014,2024-01-21,计算器,办公用品,8,89.00,712.00,李四,长沙网络公司,华中
ORD-015,2024-01-22,U盘存储,电子产品,10,79.90,799.00,王五,厦门软件公司,华南
